name,operatorAddress
Gelotto  Slash Protected,evmosvaloper1v4crs2adgcu2cdm2jxq07mw7ugzx0z4x6alxeg
Please Redelegate,evmosvaloper1suvf29zmvlmgg92zngez946nj8jrtu4hmxpwqv
Earn Network,evmosvaloper123j6k47xqfj7xp8ayut4s60e90vwjrtn60fuxj
stakefish,evmosvaloper1tcty2k97cdv5sc6xcdf2atrrxq0zg7vvjyfsmr
Architect Nodes,evmosvaloper1gzycxekfxq2hvu9jt255aajvlakay9nvz4p5jf
DELIGHT,evmosvaloper1juhvrddz4ch74tnvqrdn46t2fy78hg70mjspt6
Pls Re-Degelate (shut down on 2024.05.20),evmosvaloper18zhvafj8jcezdut6z9u0pcsnqy978ya9d25du5
EZ Staking,evmosvaloper1n4kuugnh2z5dsug7egamma7chnjcdfu4jwhq76
HoodRun,evmosvaloper17aplkq60nqqnawztjlxyk0wwtc9l2uv955003h
NacionCrypto - Parceros,evmosvaloper139gzv3nvlkp4ylrywsnj8eurm6qwp8t3l9a2gy
INACTIVE - PLEASE REDELEGATE,evmosvaloper1teve9jdzedzu64mty72qc2888kh7t9hjchp5y2
BlockHunters ,evmosvaloper15n2ms99yx2lycwk0msmtlj9yxhtlmqeymtg4c3
pro-nodes75,evmosvaloper1cn3mdzauql5af585mq0xksn26lmlh7naplgs6c
Informal Systems,evmosvaloper10xhy8xurfwts9ckjkq0ga92mrjz9txyy6y8l2g
<decommissioned>,evmosvaloper1zwr06uz8vrwkcnd05e5yddamvghn93a4hsyewa
AlphaNodes,evmosvaloper1tczjwjrr36e0l5jjqnwrp95kv8mk57zdmxse4m
heisenbug,evmosvaloper1q3aejvmwj9dxturgk00jv7hkwxld7ny7642tr8
Blockchain at Berkeley,evmosvaloper1y6yvdg2xdltzr0v5hvf8zvxk373xwas4jwgvkp
Interbloc,evmosvaloper148hpdcvge7jgjr4xxjufcq56w5k4rr0pnnqxla
Deprecated Validator,evmosvaloper19e53dt5r9w2mstt32jnj43xrxlyprnc085tl30
Cypher Core,evmosvaloper1rw4nendrehkr5tkhjswzy8ts97dvwg7rc0u0kp
Active Nodes,evmosvaloper1ufg2a3vc4vmsmxtjmckjzltqvz83ste98mr6x5
evmos4volunteers,evmosvaloper17ucx8wx9mz9f2a4ccum536gthydprcum3kcuc2
First Foundry,evmosvaloper197ahcv2x9jj0nmvnen4sqqfffhygjga7rk3shu
a41,evmosvaloper1k96y0w5wf089nuvvym3s324c8umd3vvm4yh578
 CryptoCrew - 100% MEV revenue to Evmos stakers! #IBCgang #REst,evmosvaloper1qhazu8zleyn5chrkxymewx3xw5guq2vm6q7zl0
Notional,evmosvaloper1rv94jqhlhx6makfwl6qs390e4shg32m6w6dxzy
Coverlet,evmosvaloper1kualgrr9qup0983gj44fczyvcda8ea47y494mz
Crosnest,evmosvaloper1aep37tvd5yh4ydeya2a88g2tkjz6f2lcrfjumh
w3coins,evmosvaloper1mh2lvhy0clzlx645yet4340ra0p5hh2zjyptj9
Redelegate-to-new-Stakecito-Node,evmosvaloper18fdznufds7xcgthx00jmpvf6pplt7g4n7hc5ah
Validavia,evmosvaloper1wxllvjqmha2p437dpczat82wzpr8gem04jkwmz
SmartNodes-Family  Slash Protected,evmosvaloper13nujml9r2dg85nucffe82xq3yg8f35qxmfal7p
Stake&Relax ,evmosvaloper1t4j6njtzq9chhcp2qzmr8r5gj7zjyc0hnnc9gv
 uGaenn ,evmosvaloper16jr6ewgp0ypu39z80lywgzwjrx99vxcq4sdfzf
Vault Staking | Slash Protected,evmosvaloper1k5hcl0cjprzewwvzhz3um589kx8skzlrneuepu
[Beehive],evmosvaloper1nfx47fqnqpcarqwt7qn4fk0llc57vvh3wgg35c
(Closing) Please redelegate,evmosvaloper1d74wdckw5vyn6gwqt4r0ruemp9n8vmwtudw848
Keplr (Shutting down on Nov 30),evmosvaloper1taksrncag8zudrzg8uz8n0hld5galarzzzdapy
DO NOT DELEGATE,evmosvaloper1tfc7t9yx00sw4w4d3sj7a22e4mmsed30gjkwx2
[SHUTTING DOWN] AUDIT.one,evmosvaloper1gj8uu6pxcncdtav707a86v3sqva2svn45sx62g
CLOSING 2024.03.31 REDELEGATE,evmosvaloper1x5y65hgngh77sxta6s2vpjnfjep3ltllyhf2hs
STAVR REStake ON,evmosvaloper1v3q2kuups8gzjk2930haevwn08gl9vfld69m9g
RHINO | 10% to Wildlife,evmosvaloper1vrruadnv4glvjze923m9rjaq96fyzks6egmspz
Coinbase Cloud - Shutting Down Nov 17 Please Redelegate,evmosvaloper1h62qm8qcctvcdd8t3jwm9jcc9cwleqjgnsn7ry
Tessellated,evmosvaloper1mfu6uer0zatrqaz6435m2zk40ls25tt38r4t8t
blockscape - PLEASE REDELEGATE,evmosvaloper1sx5qerxjzthnjzne7wz4x6ml4envjehvwtx8c7
KalpaTech,evmosvaloper16ywlfq3ansuh70tjtenazpdwcn6rg279gjadep
FUCK EVMOS SCAM,evmosvaloper1rhddecqpwfjdkwmu6lmfzekh936kcu6wxs7jxa
DO NOT DELEGATE,evmosvaloper1vdvflras2n3h7fjhe95h86wsy0z2nlsktngrp8
WhisperNode,evmosvaloper1chx7v975g72xuw8kdpjt94dh35daqqfyc37kys
HashKey Cloud,evmosvaloper12a6wa97lsv8wm62j07tz0xeqvfxddzyfg72d45
Multiplex,evmosvaloper1dj0mysdn05447p9ncsq9g424fv2ynaxryhpjkc
ericet,evmosvaloper15ksyw7t5t9e7w9n3d2jqqmv7y334mfrhfvvnge
Node is being decommissioned,evmosvaloper17hd4fyhqkgply6klljx3ugqemhdgqhe8xu2yu6
Let's Node | Expandingspace.io,evmosvaloper1cw8035q5dh9yc5gmk9zzt6k2ven0w292uuk96v
ChainTools,evmosvaloper10666nk6c845g295h9y77eprzpepdv82gnrrs4c
Shutting Down on August 03,evmosvaloper1jhe4gfgl7wv3s99h3d9tz4g833j8265e7cjqyw
Dora Factory,evmosvaloper199pa5qse6j24efpwejh4f5dp5p4gtp4a9mwkux
Vitwit (Previously Witval),evmosvaloper10pcga9su5me3dp5g4jln49uxjq7c9s2u9qy9zu
Validators United,evmosvaloper108eqqslmfeyd2esvgfa4333lthn2dw30q4uxyv
GalaxyStaking.space - DISCONTINUE,evmosvaloper1d6c097pmd6avh0x3spfwc0cagc690e2mmkpx4h
Chill Validation,evmosvaloper1fmfhpcc00r6ejuclv2fje3egruruk9upe7tl4s
Shutdown-REDELEGATE,evmosvaloper1g3jy2wdjus4gka7e5dud7etz0u3mcnfs9vt5cr
carbonZERO,evmosvaloper1ulkhal0g0fmgsjlf8q7mdd46m6t9sqkhmpfvfd
Crypto Assassin,evmosvaloper1wdmrn8tsk57r9qds3g77hqmr8vejnhky9de6u8
Jackal,evmosvaloper1fpjf8aywxg9qxexfwu9lanlgw58f5fhqfu348k
Bored Ape Server,evmosvaloper1v6ack3xwvnktwkq00kw4ld5xxlw55r5zmh26k0
Validatus,evmosvaloper1mhgczywyrngjudmskrmhhtehlq4yccu00ck2er
CryptoDungeon,evmosvaloper1y08xd8cswkxkefgsh0yzpcav337mhd9800t3z3
kallen,evmosvaloper1hay4kqak5h9zvp0r43y6nggprug4uc2qs0pn0j
01node,evmosvaloper1g57n4k08sk5z6ramzsgzrapgpsjsyh4t5tldw5
0% Fee | NodeOf Cosmonauts,evmosvaloper1d7uejj7he40g6g999dlpfg5egeq9jvkmlzvsjn
qwoyn,evmosvaloper1f45kvvy80gzcfccgvmg5gjzelwxeuk2k26xelm
strangelove,evmosvaloper1yautax6xx2z8rp5vcx3l3y4w97geykeur33m6w
Psycho Node,evmosvaloper182d5yfc5wwaphwjm5wqj9xmsf0vmp30qrtjllu
DO-NOT-DELEGATE,evmosvaloper1jxruqmfurgxrem4phvaqxkvprxa6fr0ncg3t88
DOUBLETOP,evmosvaloper1eqyslur6vku64v4r30hfchmr90awt5p96cumdv
Crypto Lion ,evmosvaloper1dwezh5d2d79te83u63cr9h8gce02c84t6srxz9
DO NOT DELEGATE. TURNING OFF 2/10,evmosvaloper1n9f25qr9hkt4alsq3d3jmrc6x246nmc7ghujrh
Kleomedes,evmosvaloper15d2qqhqxvde0yp9wvewv095ln5yl44spvdmfc5
!!!CLOSING!!! REDELEGATE BY 15 JULY 2024,evmosvaloper1kw03prf96w5rrj53pvhdnmsnr469dn9gqmsqwg
ZKValidator,evmosvaloper1hdslyd0vwj8ym368tqc5jdpu6hxrqvx9zex5yz
Klub Staking - SHUTTING DOWN - Redelegate to Meria,evmosvaloper1rvsmc4k7ay8hc6nlz50lw8hskygvdptmwr3rdl
Stake Frites  ,evmosvaloper1pz3mcahcrglf3md4lggax5r95gvmppc6x5w7hw
Validating Chaos -  NFTs to delegators,evmosvaloper1glfl3hd0tpqyu6fa23qsspyqya99kh0juhhhqq
Shutting Down | Please Redelegate,evmosvaloper146mfv59nypacvs5l9h0takrcv8jtlk90wr0ggp
TR-3B ASTRA,evmosvaloper10w68lsj5avr354xssl3dlu5c8gfclamuexjfzf
bailey,evmosvaloper1qq95x6dhrdnrfunlth5uh24tkrfphzl9crd3xr
Please Redelegate,evmosvaloper1a22spreqspsh9s3v67ctsuzaf9n4kallj7wuzf
airdropdao,evmosvaloper1cpa5rlkxt8x7nu8rnqm9q4wc8qan5ve5cvd8e5
Cosmoshield,evmosvaloper1g376mzt2kcszpf7y3ee7r8jpseq2zv9hshf5g3
