Denom,Exponent,Symbol,Name
ibc/C834CD421B4FD910BBC97E06E86B5E6F64EA2FE36D6AE0E4304C2E1FB1E7333C,8,axlWBTC,Wrapped Bitcoin on Axelar
ibc/C9072A294F5649D64E87A6998DD750576881E454CACCDAF7376EFC0FA243808D,6,whUSDT,Wormhole USDT on Ethereum
ibc/C9364B2C453F0428D04FD40B6CF486BA138FA462FE43A116268A7B695AFCFE7F,6,stOSMO,Stride Staked Osmo
ibc/CBA4784581AD4BEF308C536A3CD44D4A940A520E61B0D1E4FB115C539F61DEE5,18,axlDAI,Dai Stablecoin on Axelar
ibc/D9C9DFD2B4021D16B01AC16ECD5A7933383C38F8331160583E0A5F34B30E1BA9,6,stJUNO,Stride Staked Juno
ibc/DC74BE775F57FF32C3C6E14ACD86339DB50632246F6482C81CF5FCE64C0AC5C7,6,SCRT,Secret Network
ibc/DF63978F803A2E27CA5CC9B7631654CCF0BBC788B3B7F0A10200508E37C70992,6,ibc G-USDT,Tether USD channel-8
ibc/ED07A3391A112B175915CD8FAF43A2DA8E4790EDE12566649D0C2F97716B8518,6,OSMO,Osmosis
ibc/F11C8CB7743E4B5FDCEA7C97F3B2C115E1931C5614B84C183DAC439B4C919D94,6,axlUSDT,Tether USD on Axelar
ibc/F96A7F81E8F82E4EE81F94D507CD257319EFB70FE46E23B4953F63B62E855603,18,ibc G-DAI,Dai Stablecoin channel-8
ibc/FCA18B0C0D1236E203D1AE09634A3F33E8AC31707CD59A74A437A903231C653C,6,QCK,Quicksilver
